,Distance(km),Latitude,Longitude,email,fax,latitude,location,longitude,name,phone,rating,search_term,service,website
90,,,, (+261) 20 22 417 75 (+261) 20 22 597 70 alma@tiko.mg,,,BP. 6277 - ANTANANARIVO,,ALMA, (+261) 20 22 417 75 (+261) 20 22 597 70 alma@tiko.mg,,concrete,concrete, (+261) 20 22 417 75 (+261) 20 22 597 70 alma@tiko.mg
91,,,, (+261) 206 22 39 73 (+261) 206 22 25 26 hifaz@blueline.mg www.betonouest.mg,,,BP. 493 - 401 MAHAJANGA,,BETON OUEST, (+261) 206 22 39 73 (+261) 206 22 25 26 hifaz@blueline.mg www.betonouest.mg,,concrete,concrete, (+261) 206 22 39 73 (+261) 206 22 25 26 hifaz@blueline.mg www.betonouest.mg
92,,,, (+261) 202 22 04 16 (+261) 202 23 27 21 colas@colas.mg,,,BP. 133 - ANTANANARIVO,,COLAS, (+261) 202 22 04 16 (+261) 202 23 27 21 colas@colas.mg,,concrete,concrete, (+261) 202 22 04 16 (+261) 202 23 27 21 colas@colas.mg
93,,,, (+261) 202 22 39 78 (+261) 202 23 32 77 holcim-mdg@holcim.com,,,BP. 332 - ANTANANARIVO,,HOLCIM, (+261) 202 22 39 78 (+261) 202 23 32 77 holcim-mdg@holcim.com,,concrete,concrete, (+261) 202 22 39 78 (+261) 202 23 32 77 holcim-mdg@holcim.com
94,,,, (+261) 202 36 02 23 (+261) 202 36 89 40,,,BP. 8447 - ANTANANARIVO,,JEMSH, (+261) 202 36 02 23 (+261) 202 36 89 40,,concrete,concrete, (+261) 202 36 02 23 (+261) 202 36 89 40
95,,,, (+261) 202 23 07 18 (+261) 202 23 07 18 rano@simicro.mg,,,AMPARIBE - ANTANANARIVO,,RANO ITAL GROUPE, (+261) 202 23 07 18 (+261) 202 23 07 18 rano@simicro.mg,,concrete,concrete, (+261) 202 23 07 18 (+261) 202 23 07 18 rano@simicro.mg
96,,,, (+261) 202 22 62 60 (+261) 202 26 26 41 scb@simicro.mg www.scb-madagascar.com,,,BP. 944 - 101 ANTANANARIVO,,SCB, (+261) 202 22 62 60 (+261) 202 26 26 41 scb@simicro.mg www.scb-madagascar.com,,concrete,concrete, (+261) 202 22 62 60 (+261) 202 26 26 41 scb@simicro.mg www.scb-madagascar.com
97,,,, (+261) 202 22 19 23 (+261) 202 22 19 23,,,AMPITATAFIKA - ANTANANARIVO,,SUD AGGLO, (+261) 202 22 19 23 (+261) 202 22 19 23,,concrete,concrete, (+261) 202 22 19 23 (+261) 202 22 19 23
98,,,, (+261) 202 24 39 95 (+261) 202 24 24 08 petro@netclub.mg,,,BP. 12218 - ANTANANARIVO,,PETRO CONTRACTING MADAGASCAR, (+261) 202 24 39 95 (+261) 202 24 24 08 petro@netclub.mg,,construction,construction, (+261) 202 24 39 95 (+261) 202 24 24 08 petro@netclub.mg
99,,,, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg,,,BP. 872 - ANTANANARIVO,,AKYS, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg,,hardware,hardware, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg
100,,,, (+261) 202 22 27 82 (+261) 202 22 92 59 batpro@moov.mg www.batpro-madagascar.com,,,BP. 757 - 101 ANTANANARIVO,,BATPRO, (+261) 202 22 27 82 (+261) 202 22 92 59 batpro@moov.mg www.batpro-madagascar.com,,hardware,hardware, (+261) 202 22 27 82 (+261) 202 22 92 59 batpro@moov.mg www.batpro-madagascar.com
101,,,, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com,,,RUE RASETA - ANTANANARIVO,,BRICOLAND, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com,,hardware,hardware, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com
102,,,, (+261) 320 56 36 29 & 320 56 36 30 tokem@netclub.mg www.coutellerie-tokem.com,,,FARAVOHITRA - 101 ANTANANARIVO,,COUTELLERIE TOKEM, (+261) 320 56 36 29 & 320 56 36 30 tokem@netclub.mg www.coutellerie-tokem.com,,hardware,hardware, (+261) 320 56 36 29 & 320 56 36 30 tokem@netclub.mg www.coutellerie-tokem.com
103,,,, (+261) 33 14 578 99 decodis.sarl@gmail.com,,,LOT IVL 237 AMBODIN'ISOTRY - ANTANANARIVO,,DECODIS, (+261) 33 14 578 99 decodis.sarl@gmail.com,,hardware,hardware, (+261) 33 14 578 99 decodis.sarl@gmail.com
104,,,, (+261) 20 22 265 11 (+261) 20 22 338 33 delta@delta.mg,,,BP. 4216 - ANTANANARIVO,,DELTA, (+261) 20 22 265 11 (+261) 20 22 338 33 delta@delta.mg,,hardware,hardware, (+261) 20 22 265 11 (+261) 20 22 338 33 delta@delta.mg
105,,,, (+261) 202 23 56 36 (+261) 202 22 98 87 discogi@iris.mg,,,BP. 1249 - ANTANANARIVO,,DISCOGI, (+261) 202 23 56 36 (+261) 202 22 98 87 discogi@iris.mg,,hardware,hardware, (+261) 202 23 56 36 (+261) 202 22 98 87 discogi@iris.mg
106,,,, (+261) 202 22 81 05 (+261) 202 23 04 81 amicaldg@moov.mg www.disconord.com,,,ANKADIMBAHOAKA - ANTANANARIVO,,DISCONORD, (+261) 202 22 81 05 (+261) 202 23 04 81 amicaldg@moov.mg www.disconord.com,,hardware,hardware, (+261) 202 22 81 05 (+261) 202 23 04 81 amicaldg@moov.mg www.disconord.com
107,,,, (+261) 20 47 712 46 (+261) 20 47 715 56 chanickqb@hotmail.com,,,RUE COMMERCE - AMBOSITRA,,DU BETSILEO, (+261) 20 47 712 46 (+261) 20 47 715 56 chanickqb@hotmail.com,,hardware,hardware, (+261) 20 47 712 46 (+261) 20 47 715 56 chanickqb@hotmail.com
108,,,, (+261) 20 22 289 72 (+261) 20 22 289 72,,,CENTRE COMMERCIAL PRISME - ANTANANARIVO,,EZZI, (+261) 20 22 289 72 (+261) 20 22 289 72,,hardware,hardware, (+261) 20 22 289 72 (+261) 20 22 289 72
109,,,, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com,,,BP. 605 - ANTANANARIVO,,FBF, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com,,hardware,hardware, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com
110,,,, (+261) 20 22 224 16 (+261) 20 22 359 04 q.firaisana@simicro.mg,,,BP. 1515 - ANTANANARIVO,,FIRAISANA, (+261) 20 22 224 16 (+261) 20 22 359 04 q.firaisana@simicro.mg,,hardware,hardware, (+261) 20 22 224 16 (+261) 20 22 359 04 q.firaisana@simicro.mg
111,,,, (+261) 20 53 335 20 (+261) 20 53 310 72 galvaplast1@gmail.com,,,"34, RUE DELATTRE DE TASSIGNY - TOMASINA",,GALVAPLAST, (+261) 20 53 335 20 (+261) 20 53 310 72 galvaplast1@gmail.com,,hardware,hardware, (+261) 20 53 335 20 (+261) 20 53 310 72 galvaplast1@gmail.com
112,,,, (+261) 20 62 239 82 (+261) 20 62 239 82,,,BP. 81 - MAHAJANGA,,HATIM, (+261) 20 62 239 82 (+261) 20 62 239 82,,hardware,hardware, (+261) 20 62 239 82 (+261) 20 62 239 82
113,,,, (+261) 208 65 01 84 (+261) 208 65 01 84,,,BP. 17 - AMBANJA,,MAGASIN JUSTE PRIX, (+261) 208 65 01 84 (+261) 208 65 01 84,,hardware,hardware, (+261) 208 65 01 84 (+261) 208 65 01 84
114,,,, (+261) 20 62 239 52 (+261) 20 62 293 97,,,"11, AVE PHILLBERT - MAHAJANGA",,MAHAZATRA, (+261) 20 62 239 52 (+261) 20 62 293 97,,hardware,hardware, (+261) 20 62 239 52 (+261) 20 62 293 97
115,,,, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg,,,BP. 3265 - ANTANANARIVO,,MAISON MOLOU, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg,,hardware,hardware, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg
116,,,, (+261) 20 53 329 24 (+261) 20 53 300 93 talbaly@moov.mg,,,BP. 153 - TOAMASINA,,MANDROSO, (+261) 20 53 329 24 (+261) 20 53 300 93 talbaly@moov.mg,,hardware,hardware, (+261) 20 53 329 24 (+261) 20 53 300 93 talbaly@moov.mg
117,,,, (+261) 208 22 22 51 (+261) 208 22 10 67 maraj@moov.mg,,,BP. 192 - ANTSIRANANA,,MARAJ, (+261) 208 22 22 51 (+261) 208 22 10 67 maraj@moov.mg,,hardware,hardware, (+261) 208 22 22 51 (+261) 208 22 10 67 maraj@moov.mg
118,,,, (+261) 207 58 00 18 (+261) 207 58 01 46 josemong@moov.mg,,,TANAMBAO - FINARANTSOA,,MONG KWO LEONG JOSE, (+261) 207 58 00 18 (+261) 207 58 01 46 josemong@moov.mg,,hardware,hardware, (+261) 207 58 00 18 (+261) 207 58 01 46 josemong@moov.mg
119,,,, (+261) 202 23 31 34 (+261) 202 23 31 34 taj@moov.mg,,,"4, RUE RAJOHNSON - ANTANANARIVO",,MOUFFADAL, (+261) 202 23 31 34 (+261) 202 23 31 34 taj@moov.mg,,hardware,hardware, (+261) 202 23 31 34 (+261) 202 23 31 34 taj@moov.mg
120,,,, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com,,,BP. 12028 - ANTANANARIVO,,MR BRICOLAGE, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com,,hardware,hardware, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com
121,,,, (+261) 208 22 16 95 (+261) 208 22 16 95 nordis@moov.mg,,,BP. 256 - ANTSIRANANA,,NORDIS, (+261) 208 22 16 95 (+261) 208 22 16 95 nordis@moov.mg,,hardware,hardware, (+261) 208 22 16 95 (+261) 208 22 16 95 nordis@moov.mg
122,,,, (+261) 20 22 251 09 (+261) 20 22 311 43 q.2000.mg@moov.mg,,,ANDRAVOAHANGY - ANTANANARIVO,,NY ATSIMO, (+261) 20 22 251 09 (+261) 20 22 311 43 q.2000.mg@moov.mg,,hardware,hardware, (+261) 20 22 251 09 (+261) 20 22 311 43 q.2000.mg@moov.mg
123,,,, (+261) 202 23 42 40 (+261) 202 23 42 40,,,"4, RUE RADAMA - ANTANANARIVO",,OSHWAL TRADE, (+261) 202 23 42 40 (+261) 202 23 42 40,,hardware,hardware, (+261) 202 23 42 40 (+261) 202 23 42 40
124,,,, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg,,,RTE DIGUE - ANTANANARIVO,,POINT PACOM, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg,,hardware,hardware, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg
125,,,, (+261) 202 23 33 82 (+261) 202 23 02 07 q.2000.mg@moov.mg,,,MALAVOKY - ANTANANARIVO,,QUINCAILLERIE 2000, (+261) 202 23 33 82 (+261) 202 23 02 07 q.2000.mg@moov.mg,,hardware,hardware, (+261) 202 23 33 82 (+261) 202 23 02 07 q.2000.mg@moov.mg
126,,,, (+261) 202 22 02 06 (+261) 202 22 54 63 rmb.colombe@simicro.mg,,,BETONGOLO - ANTANANARIVO,,RMB, (+261) 202 22 02 06 (+261) 202 22 54 63 rmb.colombe@simicro.mg,,hardware,hardware, (+261) 202 22 02 06 (+261) 202 22 54 63 rmb.colombe@simicro.mg
127,,,, (+261) 20 22 659 01 (+261) 20 22 659 01,,,ANJANAHARY - ANTANANARIVO,,SAMBATRA, (+261) 20 22 659 01 (+261) 20 22 659 01,,hardware,hardware, (+261) 20 22 659 01 (+261) 20 22 659 01
128,,,, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,,BP. 1481 - ANTANANARIVO,,SANIFER, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,hardware,hardware, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg
129,,,, (+261) 202 22 43 22 (+261) 202 22 69 71 sicomad67ha@netclub.mg,,,BP. 1280 - ANTANANARIVO,,SICOMAD, (+261) 202 22 43 22 (+261) 202 22 69 71 sicomad67ha@netclub.mg,,hardware,hardware, (+261) 202 22 43 22 (+261) 202 22 69 71 sicomad67ha@netclub.mg
130,,,, (+261) 206 22 22 42 (+261) 206 22 22 40 sicomadmjn@simicro.mg,,,BP. 212 - MAHAJANGA,,SICOMAD, (+261) 206 22 22 42 (+261) 206 22 22 40 sicomadmjn@simicro.mg,,hardware,hardware, (+261) 206 22 22 42 (+261) 206 22 22 40 sicomadmjn@simicro.mg
131,,,, (+261) 32 03 004 66 hatim.kabir@hotmail.fr,,,MORAFENO - TAMATAVE,,SOA FENO, (+261) 32 03 004 66 hatim.kabir@hotmail.fr,,hardware,hardware, (+261) 32 03 004 66 hatim.kabir@hotmail.fr
132,,,, (+261) 34 05 553 53 taheri.tana101@gmail.com,,,LOT III U 134 B ANOSIZATO EST - ANTANANARIVO 101,,TAHERI TANA, (+261) 34 05 553 53 taheri.tana101@gmail.com,,hardware,hardware, (+261) 34 05 553 53 taheri.tana101@gmail.com
133,,,, (+261) 202 23 37 54 (+261) 202 22 65 40,,,BP. 3884 - ANTANANARIVO,,TECMACO, (+261) 202 23 37 54 (+261) 202 22 65 40,,hardware,hardware, (+261) 202 23 37 54 (+261) 202 22 65 40
134,,,, (+261) 20 22 613 43 (+261) 20 22 613 43,,,ANDRAVOAHANGY - ANTANANARIVO,,TOKY, (+261) 20 22 613 43 (+261) 20 22 613 43,,hardware,hardware, (+261) 20 22 613 43 (+261) 20 22 613 43
135,,,, (+261) 205 33 10 14 (+261) 205 33 43 11 tpbticky@moov.mg,,,"39, RUE COMMERCE - TAMATAVE",,TOUT POUR LE BATIMENT, (+261) 205 33 10 14 (+261) 205 33 43 11 tpbticky@moov.mg,,hardware,hardware, (+261) 205 33 10 14 (+261) 205 33 43 11 tpbticky@moov.mg
136,,,, (+261) 32 07 710 95 tradecenter@live.fr,,,"101 RUE DE LIEGE, TSARALALANA - TANANARIVE",,TRADE CENTER, (+261) 32 07 710 95 tradecenter@live.fr,,hardware,hardware, (+261) 32 07 710 95 tradecenter@live.fr
137,,,, (+261) 202 24 82 27 (+261) 204 44 96 67,,,BP. 10 - ANTSIRABE,,TRANOMBAROTRA AVOTRA, (+261) 202 24 82 27 (+261) 204 44 96 67,,hardware,hardware, (+261) 202 24 82 27 (+261) 204 44 96 67
138,,,, (+261) 20 22 264 52 tsaramandroso@tsaramandroso.fr www.tsaramandroso.fr,,,IBM 80 TSARALALANA - ANTANANARIVO,,TSARAMANDROSO, (+261) 20 22 264 52 tsaramandroso@tsaramandroso.fr www.tsaramandroso.fr,,hardware,hardware, (+261) 20 22 264 52 tsaramandroso@tsaramandroso.fr www.tsaramandroso.fr
139,,,, (+261) 202 22 16 68 (+261) 202 22 16 68,,,RTE AMBOHIPO - ANTANANARIVO,,TSIMANJAVONA, (+261) 202 22 16 68 (+261) 202 22 16 68,,hardware,hardware, (+261) 202 22 16 68 (+261) 202 22 16 68
140,,,, (+261) 202 22 22 20 (+261) 202 26 75 36 tsong@simicro.mg,,,"68, RUE PASTEUR - ANTANANARIVO",,TSONG & COMPAGNIE, (+261) 202 22 22 20 (+261) 202 26 75 36 tsong@simicro.mg,,hardware,hardware, (+261) 202 22 22 20 (+261) 202 26 75 36 tsong@simicro.mg
141,,,, (+261) 202 46 33 57 (+261) 202 25 63 58 unipri@moov.mg www.madachange.com,,,BONGATSARA - ANTANANARIVO,,UNIPRI, (+261) 202 46 33 57 (+261) 202 25 63 58 unipri@moov.mg www.madachange.com,,hardware,hardware, (+261) 202 46 33 57 (+261) 202 25 63 58 unipri@moov.mg www.madachange.com
142,,,, (+261) 202 20 07 01 (+261) 202 20 20 03 weldom@iris.mg,,,BP. 11136 - ANTANANARIVO,,WELDOM, (+261) 202 20 07 01 (+261) 202 20 20 03 weldom@iris.mg,,hardware,hardware, (+261) 202 20 07 01 (+261) 202 20 20 03 weldom@iris.mg
143,,,, (+261) 32 11 369 58 akbaralyirfane@hotmail.com,,,LOT 06 BLD R. JEAN TANAMBAO III - TAMATAVE,,ZAINABI, (+261) 32 11 369 58 akbaralyirfane@hotmail.com,,hardware,hardware, (+261) 32 11 369 58 akbaralyirfane@hotmail.com
144,,,, (+261) 202 24 66 92 (+261) 202 24 66 94,,,BP. 917 - 101 ANTANANARIVO,,CG BAT, (+261) 202 24 66 92 (+261) 202 24 66 94,,material,material, (+261) 202 24 66 92 (+261) 202 24 66 94
145,,,, (+261) 202 22 24 08 (+261) 202 23 35 73 madeco@madecasse.mg www.madecasse.mg,,,BP. 567 - ANTANANARIVO,,COMPAGNIE MADECASSE, (+261) 202 22 24 08 (+261) 202 23 35 73 madeco@madecasse.mg www.madecasse.mg,,material,material, (+261) 202 22 24 08 (+261) 202 23 35 73 madeco@madecasse.mg www.madecasse.mg
146,,,, (+261) 202 24 77 55 (+261) 202 24 77 54 ventes@oimjb.com,,,BP. 269 - ANTANANARIVO,,PROMA, (+261) 202 24 77 55 (+261) 202 24 77 54 ventes@oimjb.com,,material,material, (+261) 202 24 77 55 (+261) 202 24 77 54 ventes@oimjb.com
147,,,, (+261) 32 40 981 22 & (33) 173 38 58 50 34 tbmsarl@ymail.com,,,LOT VF 103 VOLOTARA ANDOHARANOFOTSY - ANTANANARIVO,,TUILERIE BRIQUETERIE MAURICE, (+261) 32 40 981 22 & (33) 173 38 58 50 34 tbmsarl@ymail.com,,material,material, (+261) 32 40 981 22 & (33) 173 38 58 50 34 tbmsarl@ymail.com
148,,,, (+261) 33 23 104 65 tianavats@yahoo.fr,,,LOT A 68 AMBOHITRARAHABA - ANTANANARIVO,,ATELIER VATS, (+261) 33 23 104 65 tianavats@yahoo.fr,,construction,construction, (+261) 33 23 104 65 tianavats@yahoo.fr
149,,,, (+261) 20 23 280 11 (+261) 20 23 679 92 sideros@yahoo.fr,,,"LOT IVX 29 TER, ANKAZOMANGA - ANTANANARIVO",,SIDEROS, (+261) 20 23 280 11 (+261) 20 23 679 92 sideros@yahoo.fr,,construction,construction, (+261) 20 23 280 11 (+261) 20 23 679 92 sideros@yahoo.fr
150,,,, (+261) 32 11 211 26 richadhassim@gmail.com,,,... - DIEGO SUAREZ,,SOMATOLES, (+261) 32 11 211 26 richadhassim@gmail.com,,construction,construction, (+261) 32 11 211 26 richadhassim@gmail.com
151,,,, (+261) 20 22 531 99 & 34 07 635 03 & 34 07 635 00 (+261) 20 22 530 80 stmb@stmb.mg www.stmbtp.com,,,BP. 1481 - ANTANANARIVO 101,,STMB TP, (+261) 20 22 531 99 & 34 07 635 03 & 34 07 635 00 (+261) 20 22 530 80 stmb@stmb.mg www.stmbtp.com,,construction,construction, (+261) 20 22 531 99 & 34 07 635 03 & 34 07 635 00 (+261) 20 22 530 80 stmb@stmb.mg www.stmbtp.com
152,,,, (+261) 32 07 223 76 technibat@blueline.mg www.technibat-btp.mg,,,LOT FA IV 170 ANDOHARANOFOTSY - ANTANANARIVO 102,,TECHNIBAT, (+261) 32 07 223 76 technibat@blueline.mg www.technibat-btp.mg,,construction,construction, (+261) 32 07 223 76 technibat@blueline.mg www.technibat-btp.mg
153,,,, (+261) 32 47 684 32 & 34 08 935 81 usermadagascar@gmail.com,,,BP. 9126 - TANANARIVO,,USER MADAGASCAR, (+261) 32 47 684 32 & 34 08 935 81 usermadagascar@gmail.com,,construction,construction, (+261) 32 47 684 32 & 34 08 935 81 usermadagascar@gmail.com
154,,,, (+261) 33 206 28 96 crownfordltd@blueline.mg www.metal-bone.com,,,LOT VA 14 H TER TSIADANA - ANTANANARIVO,,CROWN FORD, (+261) 33 206 28 96 crownfordltd@blueline.mg www.metal-bone.com,,material,material, (+261) 33 206 28 96 crownfordltd@blueline.mg www.metal-bone.com
155,,,, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg,,,BP. 872 - ANTANANARIVO,,AKYS, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg,,plumbing,plumbing, (+261) 202 22 46 30 (+261) 202 23 64 48 akys@moov.mg
156,,,, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com,,,RUE RASETA - ANTANANARIVO,,BRICOLAND, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com,,plumbing,plumbing, (+261) 202 22 09 47 (+261) 202 22 66 82 bricoland.ehb@edelec-group.com
157,,,, (+261) 34 76 361 01 (+261) 20 53 328 44 capoceanplomberie.societe@gmail.com,,,LOT 41 CP/LLE 11/31 CITE HARAS - TAMATAVE,,CAP OCEAN PLOMBERIE, (+261) 34 76 361 01 (+261) 20 53 328 44 capoceanplomberie.societe@gmail.com,,plumbing,plumbing, (+261) 34 76 361 01 (+261) 20 53 328 44 capoceanplomberie.societe@gmail.com
158,,,, (+261) 202 22 12 16 (+261) 202 25 67 57 caromad@blueline.mg,,,BP. 3758 - ANTANANARIVO,,CAROMAD, (+261) 202 22 12 16 (+261) 202 25 67 57 caromad@blueline.mg,,plumbing,plumbing, (+261) 202 22 12 16 (+261) 202 25 67 57 caromad@blueline.mg
159,,,, (+261) 202 22 26 31 (+261) 202 22 24 24 cimelta@moov.mg www.cimelta-madagascar.com,,,BP. 382 - 101 ANTANANARIVO,,CIMELTA MADAGASCAR, (+261) 202 22 26 31 (+261) 202 22 24 24 cimelta@moov.mg www.cimelta-madagascar.com,,plumbing,plumbing, (+261) 202 22 26 31 (+261) 202 22 24 24 cimelta@moov.mg www.cimelta-madagascar.com
160,,,, (+261) 202 22 20 56 (+261) 202 22 05 10 emps@moov.mg,,,BP. 3336 - ANTANANARIVO,,EMPS, (+261) 202 22 20 56 (+261) 202 22 05 10 emps@moov.mg,,plumbing,plumbing, (+261) 202 22 20 56 (+261) 202 22 05 10 emps@moov.mg
161,,,, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com,,,BP. 605 - ANTANANARIVO,,FBF, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com,,plumbing,plumbing, (+261) 202 22 03 26 (+261) 202 22 22 53 bonnetfils@simicro.mg www.bonnet-fils.com
162,,,, (+261) 202 25 26 93 (+261) 202 25 26 93 haytek@blueline.mg,,,"18TER, AMPATSY - ANTANANARIVO",,HAYTEK SERVICE, (+261) 202 25 26 93 (+261) 202 25 26 93 haytek@blueline.mg,,plumbing,plumbing, (+261) 202 25 26 93 (+261) 202 25 26 93 haytek@blueline.mg
163,,,, (+261) 202 22 51 58,,,"188BIS, RTE CIRCULAIRE - ANTANANARIVO",,LE FEE & C�, (+261) 202 22 51 58,,plumbing,plumbing, (+261) 202 22 51 58
164,,,, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg,,,BP. 3265 - ANTANANARIVO,,MAISON MOLOU, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg,,plumbing,plumbing, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg
165,,,, (+261) 202 25 26 93 (+261) 202 25 26 93 haytek@blueline.mg,,,"18TER, AMPATSY - ANTANANARIVO",,HAYTEK SERVICE, (+261) 202 25 26 93 (+261) 202 25 26 93 haytek@blueline.mg,,plumbing,plumbing, (+261) 202 25 26 93 (+261) 202 25 26 93 haytek@blueline.mg
166,,,, (+261) 202 22 51 58,,,"188BIS, RTE CIRCULAIRE - ANTANANARIVO",,LE FEE & C�, (+261) 202 22 51 58,,plumbing,plumbing, (+261) 202 22 51 58
167,,,, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg,,,BP. 3265 - ANTANANARIVO,,MAISON MOLOU, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg,,plumbing,plumbing, (+261) 202 22 80 58 (+261) 202 23 13 81 molou@moov.mg
168,,,, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com,,,BP. 12028 - ANTANANARIVO,,MR BRICOLAGE, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com,,plumbing,plumbing, (+261) 202 23 69 07 (+261) 202 26 99 71 mr.bricolage@simicro.mg www.bricolage-madagascar.com
169,,,, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg,,,RTE DIGUE - ANTANANARIVO,,POINT PACOM, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg,,plumbing,plumbing, (+261) 202 24 40 72 (+261) 202 24 88 56 pacom58@moov.mg
170,,,, (+261) 34 08 914 27 robibatiment@gmail.com,,,LOT IVC 58 BIS AMBODIVOANJO - ANTANANARIVO,,ROBI ROBSON, (+261) 34 08 914 27 robibatiment@gmail.com,,plumbing,plumbing, (+261) 34 08 914 27 robibatiment@gmail.com
171,,,, (+261) 202 22 73 99 (+261) 202 22 31 64 safina@moov.mg,,,"71, RUE DE LIEGE - ANTANANARIVO",,SAFINA IMPORT, (+261) 202 22 73 99 (+261) 202 22 31 64 safina@moov.mg,,plumbing,plumbing, (+261) 202 22 73 99 (+261) 202 22 31 64 safina@moov.mg
172,,,, (+261) 202 24 47 21 (+261) 202 24 47 23 sfc@moov.mg,,,IMERINAFOVOANY - ANTANANARIVO,,SANI FRANCE CONFORT, (+261) 202 24 47 21 (+261) 202 24 47 23 sfc@moov.mg,,plumbing,plumbing, (+261) 202 24 47 21 (+261) 202 24 47 23 sfc@moov.mg
173,,,, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,,BP. 1481 - ANTANANARIVO,,SANIFER, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,plumbing,plumbing, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg
174,,,, (+261) 33 33 047 17 (+261) 341 08 08 67 s.maria.sarl@gmail.com www.afridealltd.com,,,LOT II F 5 BIS MANDROSOA IVATO - ANTANANARIVO 105,,SANTA MARIA, (+261) 33 33 047 17 (+261) 341 08 08 67 s.maria.sarl@gmail.com www.afridealltd.com,,plumbing,plumbing, (+261) 33 33 047 17 (+261) 341 08 08 67 s.maria.sarl@gmail.com www.afridealltd.com
175,,,, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,,BP. 1481 - ANTANANARIVO,,SANIFER, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg,,plumbing,plumbing, (+261) 202 25 30 81 (+261) 202 25 30 80 sanifer@moov.mg
